"","replicate","n_infectors","alpha_mean","phi_alpha","true_mean_gi","true_logmean_gi","true_sdlog_gi","R0","phi_ind_C","phi_C","C_bar","vary_ind_infectiousness","vary_ind_contact_rate","logmean_median","logsd_median","logmean_mean","logmean_upper_95","logmean_lower_95","logmean_median_po","logsd_median_po","logmean_mean_po","logmean_upper_95_po","logmean_lower_95_po"
"23",2,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.23744585,0.409086595,1.237650002425,1.311368495,1.16677911,1.2116002,0.42961555,1.21088267555,1.287320205,1.1300270625
"24",3,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.2907191,0.468448705,1.29026073295,1.38948026,1.1887471725,1.3719821,0.420618225,1.372093083475,1.4549225475,1.291253175
"25",4,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.27406665,0.484191335,1.274468275475,1.3759681175,1.17104176,1.2754054,0.50001408,1.275063776125,1.3810793525,1.167608185
"26",5,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.31458625,0.415703685,1.31145758005,1.3985330475,1.203636825,1.2936616,0.34101548,1.2942352795,1.3557229175,1.2364188675
"27",6,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.38593175,0.467098785,1.3862906877,1.474777875,1.2965595875,1.4458228,0.472336335,1.446390730275,1.53633379,1.353956895
"28",7,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.2601575,0.537844405,1.26057803685,1.353545335,1.16434133,1.26607015,0.5140666,1.265830556025,1.35513589,1.1757057075
"29",8,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.33178895,0.51572503,1.331841059275,1.427475925,1.2378377475,1.29699385,0.49031656,1.2973355921,1.388362555,1.2080393475
"30",9,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.31197815,0.427520805,1.3115451704,1.3901430025,1.23162142,1.318751,0.443965845,1.318701406625,1.4076255725,1.228709675
"31",10,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.24720185,0.44655334,1.247721690225,1.344294815,1.1565302625,1.28851295,0.459627165,1.288090199225,1.3865217375,1.18928589
"32",1,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.23554895,0.482213155,1.235272658475,1.335709075,1.13825726,1.236556,0.466844465,1.236652921775,1.3318049,1.143354905
"33",2,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.18941645,0.50718393,1.19039893144,1.3036217725,1.0841931825,1.212559,0.522456675,1.2144144014575,1.330294995,1.097340935
"34",3,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.26631355,0.470656785,1.2662013405,1.3552374675,1.173501745,1.2797869,0.458172855,1.27994612915,1.369499545,1.1903980725
"35",4,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.28195935,0.567737115,1.28182153065,1.397757105,1.16579333,1.26331765,0.57083376,1.262861980375,1.37799467,1.14816003
"36",5,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.2770635,0.47892724,1.27759187585,1.3718878125,1.18154258,1.28325,0.4743298,1.282574484975,1.3754033775,1.187005425
"37",6,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.2913238,0.499557305,1.291597876075,1.38316382,1.197552015,1.32620305,0.49866413,1.325400545225,1.4163863,1.22838944
"38",7,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.3195054,0.450707165,1.320068552375,1.40964575,1.233020725,1.3107848,0.4515945,1.310813634125,1.40079565,1.22122726
"39",8,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.28259935,0.521335085,1.28188006585,1.37350971,1.1843176075,1.2681029,0.514239115,1.2674083635,1.359011035,1.175486725
"40",9,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.34725855,0.50895051,1.347379685275,1.4593938025,1.2387747075,1.3385979,0.515544875,1.3391232853,1.4544660525,1.2299791825
"41",10,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.2650261,0.459234485,1.265120028425,1.3469879975,1.1846403375,1.2649407,0.4483715,1.26463292735,1.34146244,1.1896434325
"42",1,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.2654391,0.48249052,1.26519926995,1.3565609575,1.1702095875,1.27500345,0.484246335,1.275508160625,1.3652523,1.1874855725
"43",2,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.2807676,0.455967485,1.281055612825,1.3771704125,1.184689185,1.27302755,0.45020073,1.272530593875,1.363680885,1.1797244975
"44",3,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.3367183,0.40022607,1.33653238455,1.421921145,1.2511890225,1.330693,0.39111883,1.331177855675,1.414933035,1.250021665
"45",4,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.1620268,0.43178018,1.16137303735,1.242983625,1.079952055,1.1734755,0.434893615,1.173682232025,1.259587695,1.089581015
"46",5,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.33385395,0.43171475,1.334127236475,1.4155113975,1.252509505,1.3330152,0.4251422,1.3333728052,1.4119801625,1.2562420875
"47",6,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.2410767,0.453995525,1.240879045775,1.33816419,1.145071795,1.2448536,0.45195819,1.244273918525,1.33598037,1.1504455675
"48",7,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.3216066,0.464614975,1.32129978815,1.4161139425,1.22777811,1.3205326,0.46388786,1.32063125715,1.416025155,1.2220584675
"49",8,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.16288275,0.448004855,1.1637866704825,1.26063158,1.06757749,1.1538505,0.452418605,1.1543508714375,1.247119975,1.060613985
"50",9,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.195627,0.489965565,1.195840991225,1.29120835,1.1001729175,1.17998305,0.498558455,1.1805321669875,1.2812261075,1.08105708
"51",10,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.34458465,0.497663225,1.343804645625,1.43677329,1.2492231725,1.3413283,0.49560689,1.3405862813,1.4308049075,1.24705489
"52",1,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.21000595,0.46968182,1.2115552016875,1.3394069,1.0903598275,1.346449,0.484245905,1.345290988175,1.4832031375,1.20147419
