"","replicate","n_infectors","alpha_mean","phi_alpha","true_mean_gi","true_logmean_gi","true_sdlog_gi","R0","phi_ind_C","phi_C","C_bar","vary_ind_infectiousness","vary_ind_contact_rate","logmean_median","logsd_median","logmean_mean","logmean_upper_95","logmean_lower_95","logmean_median_po","logsd_median_po","logmean_mean_po","logmean_upper_95_po","logmean_lower_95_po"
"25",4,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.259865,0.434196,1.258476595,1.35773175,1.16049175,1.22681,0.4347845,1.2270793875,1.32611075,1.130565
"26",5,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.337105,0.487295,1.336595735,1.4447445,1.223228,1.37198,0.4774875,1.3705346975,1.47110175,1.26696725
"27",6,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.24872,0.4907815,1.249992555,1.377542,1.12556675,1.213905,0.5082715,1.21322662325,1.3463725,1.07956725
"28",7,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.253305,0.4468985,1.253178055,1.3280935,1.17717625,1.21846,0.4832725,1.2192342525,1.30914225,1.13305625
"29",8,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.336885,0.5343965,1.3343461875,1.50265525,1.16634675,1.279265,0.549405,1.2772120625,1.45168225,1.09715775
"30",9,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.30558,0.388746,1.30376845,1.403168,1.19988775,1.319585,0.389613,1.31958299,1.42271125,1.21477525
"31",10,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.21258,0.4708975,1.21228765,1.29119025,1.13573925,1.228145,0.435934,1.228797235,1.29511175,1.16313975
"32",1,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.239905,0.5305255,1.239820415,1.34480875,1.13471625,1.24871,0.5254875,1.2480194,1.3565845,1.13948625
"33",2,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.38276,0.4420555,1.3823119375,1.4753515,1.29001375,1.39101,0.4426815,1.3896844775,1.48208075,1.293456
"34",3,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.32511,0.5118095,1.325778695,1.42288475,1.23113725,1.3045,0.541151,1.304591835,1.41681275,1.19361925
"35",4,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.239105,0.46195,1.238883955,1.326911,1.14431,1.237885,0.4516975,1.23741402,1.327649,1.14599825
"36",5,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.256525,0.3967845,1.257356085,1.33780525,1.178844,1.276885,0.375615,1.277182335,1.35014,1.207098
"37",6,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.41399,0.451817,1.41300791,1.5028565,1.31909775,1.45871,0.445475,1.459721615,1.5553345,1.3703485
"38",7,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.29842,0.452024,1.29917023,1.3858945,1.21236325,1.28582,0.4558595,1.2859143575,1.373614,1.19770325
"39",8,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.281155,0.481755,1.2811238225,1.38194275,1.18286575,1.26695,0.501796,1.2668688425,1.381361,1.152593
"40",9,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.26893,0.4595025,1.2689021775,1.35071075,1.18402,1.284245,0.456778,1.283965725,1.3681875,1.20034325
"41",10,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.172365,0.522958,1.17340479,1.2696425,1.07694275,1.13264,0.536131,1.13307118025,1.2360625,1.028867
"42",1,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.248605,0.500185,1.249392255,1.3479445,1.14952075,1.22579,0.5059685,1.22616343,1.3249035,1.12440875
"43",2,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.33875,0.5053835,1.3391055025,1.4396535,1.2387945,1.32548,0.5253075,1.325811695,1.43559375,1.21751275
"44",3,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.260355,0.4565025,1.2596447025,1.35653075,1.1591275,1.271855,0.4373965,1.272037415,1.36066725,1.18672775
"45",4,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.38452,0.465706,1.384419895,1.4741405,1.29575825,1.374465,0.4516955,1.3752225775,1.46267275,1.28452
"46",5,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.253415,0.4768635,1.2532380225,1.348374,1.1622155,1.24452,0.4786895,1.2444807475,1.34138025,1.1510465
"47",6,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.27412,0.476138,1.2759360325,1.375665,1.1865985,1.290905,0.467191,1.2915018,1.3823335,1.2019
"48",7,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.276565,0.492171,1.27605342,1.36514225,1.1848345,1.262835,0.4941535,1.263724575,1.35609475,1.17284625
